azimuth_deg_true,skyline_elev_angle_deg,skyline_dist_km,skyline_summit_m,nearridge_elev_deg,nearridge_dist_km,nearridge_m
40,3.155,33.8,2415,3.155,33.8,2415
42,3.146,50.6,3430,2.762,41.5,2594
44,3.359,52.0,3711,2.794,40.8,2579
46,3.556,49.2,3697,2.988,45.7,3002
48,3.459,49.2,3613,3.222,45.7,3189
50,3.415,47.1,3436,3.311,42.2,3037
52,3.952,40.8,3406,3.952,40.8,3406
54,4.126,37.3,3260,4.126,37.3,3260
56,3.974,37.3,3160,3.974,37.3,3160
58,3.873,42.9,3504,3.873,42.9,3504
60,3.866,33.8,2836,3.866,33.8,2836
62,3.958,33.1,2839,3.958,33.1,2839
64,3.919,52.0,4221,3.568,32.4,2566
66,4.43,52.7,4746,3.769,32.4,2680
68,4.411,54.8,4906,3.534,31.0,2454
70,4.351,57.6,5083,3.524,41.5,3147
72,4.615,55.5,5164,3.341,39.4,2880
74,4.889,55.5,5432,3.73,45.7,3596
76,4.149,52.0,4431,3.218,45.0,3142
78,3.824,52.7,4186,2.874,38.0,2480
80,3.795,49.9,3954,2.833,19.1,1444
82,3.668,56.2,4292,3.15,19.1,1550
84,3.382,56.2,4011,2.622,17.7,1306
86,3.159,56.2,3791,2.546,45.7,2649
88,3.226,56.2,3857,2.192,45.0,2335
90,3.371,54.8,3907,2.097,40.1,2052
92,3.621,54.1,4097,2.114,34.5,1829
94,3.237,55.5,3823,2.764,34.5,2221
96,3.2,55.5,3787,3.031,33.8,2342
98,3.313,33.1,2465,3.313,33.1,2465
100,3.724,33.1,2703,3.724,33.1,2703
102,3.417,33.8,2570,3.417,33.8,2570
104,3.605,34.5,2729,3.605,34.5,2729
106,3.863,34.5,2885,3.863,34.5,2885
108,4.06,34.5,3004,4.06,34.5,3004
110,4.293,34.5,3145,4.293,34.5,3145
112,3.935,35.2,2980,3.935,35.2,2980
114,3.989,35.2,3013,3.989,35.2,3013
116,3.771,35.9,2928,3.771,35.9,2928
118,3.407,33.8,2564,3.407,33.8,2564
120,3.283,33.8,2491,3.283,33.8,2491
122,3.126,33.8,2398,3.126,33.8,2398
124,2.663,33.8,2124,2.663,33.8,2124
126,2.228,33.8,1867,2.228,33.8,1867
128,2.02,47.1,2287,1.866,42.9,1997
130,2.165,43.6,2252,2.165,43.6,2252
132,1.954,45.7,2176,1.954,45.7,2176
134,2.161,46.4,2372,2.105,45.7,2296
136,2.207,46.4,2409,1.924,45.7,2152
138,2.222,45.0,2358,2.222,45.0,2358
140,2.179,63.2,3151,1.752,42.9,1912
