azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
0.0,0.7862,60.520,1557.9,-32.83171,-70.78670
0.1,0.7780,60.560,1550.0,-32.83136,-70.78557
0.2,0.7835,60.620,1557.2,-32.83082,-70.78443
0.3,0.7786,60.660,1552.9,-32.83046,-70.78330
0.4,0.7961,60.700,1572.3,-32.83011,-70.78216
0.5,0.8152,60.720,1593.0,-32.82994,-70.78102
0.6,0.8311,60.740,1610.3,-32.82977,-70.77989
0.7,0.8296,60.760,1609.2,-32.82960,-70.77875
0.8,0.8387,60.780,1619.3,-32.82943,-70.77761
0.9,0.8361,60.820,1617.5,-32.82908,-70.77647
1.0,0.8592,60.940,1644.8,-32.82802,-70.77531
1.1,0.8816,60.980,1669.6,-32.82768,-70.77417
1.2,0.9237,61.360,1723.8,-32.82428,-70.77294
1.3,0.9763,61.260,1777.5,-32.82520,-70.77182
1.4,0.9803,61.240,1781.3,-32.82540,-70.77068
1.5,0.9963,61.220,1797.9,-32.82561,-70.76954
1.6,1.0019,61.240,1804.4,-32.82545,-70.76839
1.7,1.0348,61.260,1840.1,-32.82530,-70.76724
1.8,1.0353,61.260,1840.7,-32.82533,-70.76610
1.9,0.9992,61.360,1804.7,-32.82446,-70.76492
2.0,0.9811,55.020,1626.2,-32.88149,-70.76613
2.1,0.9727,55.060,1619.2,-32.88116,-70.76509
2.2,0.9737,61.660,1784.9,-32.82187,-70.76136
2.3,0.9562,61.940,1773.2,-32.81939,-70.76009
2.4,0.9678,62.120,1790.2,-32.81781,-70.75885
2.5,1.0162,62.200,1844.9,-32.81713,-70.75766
2.6,0.9789,62.220,1804.9,-32.81700,-70.75649
2.7,0.9702,62.540,1803.6,-32.81417,-70.75517
2.8,0.9301,55.220,1581.9,-32.87998,-70.75780
2.9,0.9463,63.280,1796.0,-32.80761,-70.75243
3.0,0.9352,63.300,1784.3,-32.80748,-70.75124
3.1,0.9492,55.140,1598.4,-32.88083,-70.75476
3.2,0.9481,55.020,1594.5,-32.88196,-70.75380
3.3,0.9332,55.280,1586.4,-32.87967,-70.75261
3.4,0.9199,55.260,1573.1,-32.87990,-70.75159
3.5,0.9078,55.240,1560.9,-32.88013,-70.75058
3.6,0.8901,55.240,1543.9,-32.88018,-70.74955
3.7,0.8829,45.900,1328.4,-32.96408,-70.75494
3.8,0.9111,45.860,1350.1,-32.96449,-70.75411
3.9,0.9203,45.840,1357.1,-32.96471,-70.75327
4.0,0.9362,45.780,1368.4,-32.96530,-70.75246
4.1,0.9771,45.760,1400.6,-32.96553,-70.75162
4.2,0.9864,45.260,1396.3,-32.97007,-70.75116
4.3,0.9962,45.340,1406.0,-32.96940,-70.75025
4.4,1.0050,45.460,1415.8,-32.96838,-70.74930
4.5,0.9902,45.520,1405.5,-32.96790,-70.74841
4.6,0.9856,45.640,1404.7,-32.96688,-70.74745
4.7,0.9853,45.660,1404.9,-32.96676,-70.74659
4.8,0.9739,45.680,1396.2,-32.96664,-70.74572
4.9,0.9828,23.440,916.7,-33.16602,-70.76518
5.0,1.0185,23.460,931.7,-33.16587,-70.76473
5.1,1.0444,23.480,942.8,-33.16573,-70.76427
5.2,1.0604,23.500,949.8,-33.16558,-70.76381
5.3,1.0771,23.680,960.6,-33.16400,-70.76319
5.4,1.0869,23.700,965.1,-33.16386,-70.76273
5.5,1.0793,23.660,961.1,-33.16425,-70.76233
5.6,1.0762,23.620,958.9,-33.16465,-70.76193
5.7,1.0727,23.540,955.7,-33.16540,-70.76157
5.8,1.0690,23.500,953.3,-33.16579,-70.76118
5.9,1.0612,50.360,1583.3,-32.92549,-70.73122
6.0,1.0853,22.020,927.4,-33.17911,-70.76196
6.1,1.0986,22.020,932.5,-33.17915,-70.76155
6.2,1.1034,22.060,935.2,-33.17882,-70.76109
6.3,1.1184,22.100,941.9,-33.17850,-70.76063
6.4,1.1333,22.080,947.2,-33.17872,-70.76025
6.5,1.1514,22.080,954.2,-33.17876,-70.75983
6.6,1.1730,22.100,963.0,-33.17862,-70.75940
6.7,1.1957,22.100,971.7,-33.17866,-70.75899
6.8,1.2107,22.080,977.0,-33.17888,-70.75860
6.9,1.2276,22.040,982.5,-33.17928,-70.75824
7.0,1.2621,22.020,995.4,-33.17950,-70.75786
7.1,1.2908,22.000,1005.9,-33.17972,-70.75747
7.2,1.2838,21.980,1002.7,-33.17994,-70.75709
7.3,1.2719,21.980,998.1,-33.17999,-70.75668
7.4,1.2567,21.980,992.3,-33.18003,-70.75627
7.5,1.2416,22.020,987.5,-33.17972,-70.75581
7.6,1.2288,22.160,986.0,-33.17851,-70.75520
7.7,1.2243,22.180,984.7,-33.17838,-70.75476
7.8,1.2072,22.200,978.6,-33.17825,-70.75432
7.9,1.1986,22.540,983.4,-33.17527,-70.75340
8.0,1.2121,22.540,988.7,-33.17532,-70.75298
8.1,1.2110,22.540,988.3,-33.17537,-70.75257
8.2,1.2007,22.560,984.7,-33.17524,-70.75212
8.3,1.1818,22.560,977.3,-33.17529,-70.75170
8.4,1.1657,22.640,972.8,-33.17463,-70.75115
8.5,1.1492,22.640,966.3,-33.17468,-70.75073
8.6,1.1293,22.660,958.9,-33.17456,-70.75028
8.7,1.1186,22.680,955.0,-33.17443,-70.74983
8.8,1.1131,22.820,956.1,-33.17324,-70.74918
8.9,1.1010,22.820,951.2,-33.17330,-70.74876
9.0,1.0977,22.860,950.8,-33.17300,-70.74827
9.1,1.0948,22.900,950.5,-33.17270,-70.74778
9.2,1.1053,21.200,916.8,-33.18785,-70.75027
9.3,1.0916,21.180,911.3,-33.18808,-70.74991
9.4,1.0740,22.980,944.0,-33.17216,-70.74636
9.5,1.0719,22.980,943.1,-33.17222,-70.74594
9.6,1.0702,23.300,949.4,-33.16944,-70.74494
9.7,1.0730,23.320,951.0,-33.16932,-70.74447
9.8,1.0757,23.320,952.1,-33.16939,-70.74404
9.9,1.0531,23.320,942.9,-33.16945,-70.74361
10.0,1.0161,23.340,928.3,-33.16934,-70.74314
10.1,0.9866,23.340,916.2,-33.16940,-70.74271
10.2,0.9771,21.620,877.7,-33.18469,-70.74555
10.3,0.9574,21.620,870.3,-33.18475,-70.74515
10.4,0.9399,21.620,863.7,-33.18481,-70.74475
10.5,0.9331,23.440,896.4,-33.16878,-70.74079
10.6,0.9450,23.440,901.2,-33.16884,-70.74036
10.7,0.9562,23.440,905.8,-33.16891,-70.73993
10.8,0.9590,23.480,907.8,-33.16863,-70.73942
10.9,0.9493,23.500,904.2,-33.16852,-70.73894
11.0,0.9668,23.560,912.6,-33.16806,-70.73839
11.1,0.9695,23.560,913.7,-33.16813,-70.73796
11.2,0.9628,23.740,914.5,-33.16661,-70.73715
11.3,0.9858,23.740,924.1,-33.16668,-70.73671
11.4,1.0045,23.740,931.8,-33.16676,-70.73627
11.5,1.0293,23.820,943.8,-33.16613,-70.73567
11.6,1.0644,23.840,958.8,-33.16602,-70.73519
11.7,1.0855,23.880,968.5,-33.16575,-70.73466
11.8,1.0894,23.880,970.2,-33.16582,-70.73422
11.9,1.0991,23.920,975.1,-33.16555,-70.73370
12.0,1.0944,23.920,973.1,-33.16563,-70.73326
12.1,1.0743,23.920,964.7,-33.16570,-70.73282
12.2,1.0519,23.920,955.4,-33.16578,-70.73238
12.3,1.0302,23.940,946.7,-33.16569,-70.73189
12.4,1.0137,23.940,939.8,-33.16577,-70.73146
12.5,1.0003,23.940,934.2,-33.16585,-70.73102
12.6,0.9915,23.980,931.4,-33.16558,-70.73049
12.7,0.9866,24.000,929.7,-33.16549,-70.73000
12.8,0.9958,24.060,934.8,-33.16504,-70.72942
12.9,1.0056,24.080,939.3,-33.16495,-70.72893
13.0,1.0109,24.100,942.0,-33.16486,-70.72844
13.1,1.0292,24.120,950.2,-33.16477,-70.72795
13.2,1.0643,48.040,1527.3,-32.95534,-70.66910
13.3,1.0934,48.040,1551.7,-32.95551,-70.66822
13.4,1.0713,48.060,1533.7,-32.95551,-70.66730
13.5,1.1013,52.760,1681.6,-32.91456,-70.65473
13.6,1.1115,52.760,1691.0,-32.91475,-70.65377
13.7,1.1600,49.060,1635.0,-32.94729,-70.66215
13.8,1.2694,49.000,1727.1,-32.94800,-70.66141
13.9,1.3189,48.980,1768.8,-32.94836,-70.66057
14.0,1.3380,48.820,1780.4,-32.94994,-70.66010
14.1,1.4151,50.500,1899.1,-32.93546,-70.65484
14.2,1.4614,50.640,1944.4,-32.93443,-70.65356
14.3,1.4641,50.720,1949.5,-32.93393,-70.65243
14.4,1.4311,50.740,1920.8,-32.93395,-70.65146
14.5,1.3841,50.740,1879.2,-32.93415,-70.65054
14.6,1.3360,48.560,1770.9,-32.95333,-70.65548
14.7,1.3173,48.580,1755.6,-32.95335,-70.65455
14.8,1.2888,48.580,1731.5,-32.95354,-70.65367
14.9,1.2652,48.600,1712.0,-32.95356,-70.65274
15.0,1.2418,48.660,1693.8,-32.95324,-70.65169
15.1,1.2415,49.020,1703.7,-32.95031,-70.64981
15.2,1.2679,49.000,1725.8,-32.95068,-70.64898
15.3,1.2685,48.880,1722.8,-32.95192,-70.64844
15.4,1.2634,48.920,1719.6,-32.95178,-70.64744
15.5,1.2831,49.720,1759.8,-32.94505,-70.64428
15.6,1.3330,49.620,1800.1,-32.94612,-70.64367
15.7,1.3755,49.620,1836.9,-32.94633,-70.64277
15.8,1.3997,49.580,1856.7,-32.94689,-70.64200
15.9,1.4154,49.640,1872.2,-32.94658,-70.64093
16.0,1.4503,49.660,1903.1,-32.94662,-70.63998
16.1,1.4839,49.700,1933.5,-32.94649,-70.63896
16.2,1.5079,49.700,1954.4,-32.94670,-70.63807
16.3,1.5366,49.680,1978.7,-32.94709,-70.63724
16.4,1.5406,49.720,1983.5,-32.94697,-70.63622
16.5,1.5392,49.740,1983.0,-32.94701,-70.63527
16.6,1.5325,49.780,1978.4,-32.94689,-70.63426
16.7,1.5524,49.780,1995.8,-32.94711,-70.63336
16.8,1.5712,49.780,2012.1,-32.94734,-70.63247
16.9,1.5796,49.760,2018.7,-32.94774,-70.63164
17.0,1.5881,49.760,2026.1,-32.94796,-70.63075
17.1,1.6006,49.760,2037.0,-32.94819,-70.62986
17.2,1.6200,49.780,2054.5,-32.94825,-70.62891
17.3,1.6324,49.780,2065.4,-32.94848,-70.62802
17.4,1.6438,49.780,2075.3,-32.94871,-70.62713
17.5,1.6623,49.780,2091.4,-32.94894,-70.62624
17.6,1.6719,49.840,2101.9,-32.94866,-70.62516
17.7,1.6508,49.900,2085.7,-32.94838,-70.62408
17.8,1.6487,49.960,2085.9,-32.94811,-70.62299
17.9,1.6383,50.060,2080.4,-32.94749,-70.62177
18.0,1.6640,50.080,2103.6,-32.94756,-70.62081
18.1,1.6867,50.080,2123.5,-32.94780,-70.61992
18.2,1.6981,50.080,2133.4,-32.94805,-70.61903
18.3,1.7078,50.080,2141.9,-32.94829,-70.61814
18.4,1.7303,50.020,2159.4,-32.94905,-70.61745
18.5,1.7452,50.040,2173.2,-32.94913,-70.61650
18.6,1.7700,50.020,2194.1,-32.94955,-70.61568
18.7,1.8169,49.940,2232.1,-32.95048,-70.61507
18.8,1.8389,49.860,2248.2,-32.95141,-70.61446
18.9,1.8307,49.740,2236.3,-32.95268,-70.61399
19.0,1.8056,49.680,2212.2,-32.95345,-70.61331
