azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
0.0,2.2743,5.060,953.0,-23.38861,-46.48250
0.1,2.2814,5.060,953.6,-23.38861,-46.48241
0.2,2.2885,5.060,954.2,-23.38861,-46.48233
0.3,2.2955,5.060,954.8,-23.38861,-46.48224
0.4,2.2915,5.060,954.5,-23.38861,-46.48215
0.5,2.2846,5.060,953.9,-23.38861,-46.48207
0.6,2.2776,5.060,953.3,-23.38861,-46.48198
0.7,2.2749,5.080,953.8,-23.38843,-46.48189
0.8,2.2781,5.080,954.1,-23.38843,-46.48180
0.9,2.2813,5.080,954.4,-23.38843,-46.48172
1.0,2.2905,5.080,955.2,-23.38843,-46.48163
1.1,2.3082,5.080,956.8,-23.38844,-46.48154
1.2,2.3303,5.040,957.1,-23.38880,-46.48146
1.3,2.3551,5.040,959.3,-23.38880,-46.48138
1.4,2.3810,5.040,961.6,-23.38880,-46.48129
1.5,2.4080,4.940,959.7,-23.38970,-46.48123
1.6,2.4432,4.940,962.7,-23.38971,-46.48115
1.7,2.4768,4.940,965.6,-23.38971,-46.48106
1.8,2.5162,4.960,969.9,-23.38953,-46.48097
1.9,2.5573,4.960,973.5,-23.38953,-46.48089
2.0,2.5912,4.960,976.4,-23.38953,-46.48080
2.1,2.6130,4.960,978.3,-23.38954,-46.48072
2.2,2.6391,4.980,981.5,-23.38936,-46.48062
2.3,2.6637,4.980,983.7,-23.38936,-46.48054
2.4,2.6780,4.980,984.9,-23.38937,-46.48045
2.5,2.6924,4.980,986.2,-23.38937,-46.48037
2.6,2.7068,4.980,987.4,-23.38937,-46.48028
2.7,2.7121,4.980,987.9,-23.38938,-46.48020
2.8,2.7167,4.980,988.3,-23.38938,-46.48011
2.9,2.7212,4.980,988.7,-23.38939,-46.48003
3.0,2.7219,4.980,988.7,-23.38939,-46.47994
3.1,2.7204,4.980,988.6,-23.38939,-46.47986
3.2,2.7189,5.000,989.4,-23.38922,-46.47976
3.3,2.7288,5.000,990.3,-23.38922,-46.47968
3.4,2.7429,5.000,991.5,-23.38923,-46.47959
3.5,2.7605,5.020,994.0,-23.38905,-46.47949
3.6,2.7801,5.020,995.8,-23.38906,-46.47941
3.7,2.8008,5.020,997.6,-23.38906,-46.47932
3.8,2.8219,5.020,999.4,-23.38907,-46.47924
3.9,2.8437,5.020,1001.3,-23.38907,-46.47915
4.0,2.8665,5.020,1003.4,-23.38908,-46.47906
4.1,2.8893,5.020,1005.4,-23.38908,-46.47898
4.2,2.9119,5.020,1007.3,-23.38909,-46.47889
4.3,2.9317,5.020,1009.1,-23.38909,-46.47881
4.4,2.9518,5.020,1010.8,-23.38910,-46.47872
4.5,2.9736,5.000,1011.7,-23.38929,-46.47865
4.6,2.9960,5.000,1013.7,-23.38929,-46.47857
4.7,3.0179,5.000,1015.6,-23.38930,-46.47848
4.8,3.0402,5.000,1017.5,-23.38931,-46.47840
4.9,3.0612,5.000,1019.4,-23.38931,-46.47831
5.0,3.0771,5.000,1020.8,-23.38932,-46.47823
5.1,3.0933,5.000,1022.2,-23.38933,-46.47814
5.2,3.1097,5.000,1023.6,-23.38933,-46.47805
5.3,3.1293,5.000,1025.3,-23.38934,-46.47797
5.4,3.1523,5.020,1028.5,-23.38917,-46.47787
5.5,3.1793,5.020,1030.8,-23.38918,-46.47778
5.6,3.1925,5.020,1032.0,-23.38918,-46.47769
5.7,3.2052,5.020,1033.1,-23.38919,-46.47761
5.8,3.2176,5.020,1034.2,-23.38920,-46.47752
5.9,3.2233,5.020,1034.7,-23.38921,-46.47744
6.0,3.2268,5.020,1035.0,-23.38921,-46.47735
6.1,3.2308,5.020,1035.4,-23.38922,-46.47727
6.2,3.2292,5.000,1034.1,-23.38941,-46.47720
6.3,3.2209,5.000,1033.4,-23.38942,-46.47712
6.4,3.2131,5.000,1032.7,-23.38943,-46.47703
6.5,3.2056,5.000,1032.0,-23.38944,-46.47695
6.6,3.1973,5.140,1039.2,-23.38819,-46.47670
6.7,3.1843,5.140,1038.0,-23.38820,-46.47662
6.8,3.1689,5.160,1037.8,-23.38803,-46.47651
6.9,3.1545,5.160,1036.5,-23.38804,-46.47642
7.0,3.1218,5.160,1033.5,-23.38805,-46.47633
7.1,3.0785,5.160,1029.6,-23.38806,-46.47624
7.2,3.0400,5.200,1028.3,-23.38772,-46.47611
7.3,3.0043,5.200,1025.0,-23.38773,-46.47602
7.4,2.9685,5.200,1021.8,-23.38774,-46.47593
7.5,2.9328,5.200,1018.5,-23.38775,-46.47584
7.6,2.9256,4.700,992.0,-23.39222,-46.47640
7.7,2.9103,4.700,990.7,-23.39223,-46.47632
7.8,2.8915,4.700,989.2,-23.39224,-46.47624
7.9,2.8727,4.700,987.6,-23.39225,-46.47616
8.0,2.8522,4.700,985.9,-23.39226,-46.47608
8.1,2.8280,4.700,983.9,-23.39227,-46.47600
8.2,2.8029,4.700,981.9,-23.39228,-46.47592
8.3,2.7792,4.720,980.9,-23.39211,-46.47582
8.4,2.7528,4.740,979.7,-23.39195,-46.47571
8.5,2.7334,4.740,978.1,-23.39196,-46.47563
8.6,2.7106,4.740,976.2,-23.39197,-46.47555
8.7,2.6694,4.740,972.8,-23.39198,-46.47547
8.8,2.6284,4.760,970.3,-23.39181,-46.47536
8.9,2.5960,4.760,967.6,-23.39182,-46.47528
9.0,2.5580,4.780,965.4,-23.39166,-46.47516
9.1,2.5205,4.780,962.2,-23.39167,-46.47508
9.2,2.4785,4.780,958.7,-23.39168,-46.47500
9.3,2.4374,5.500,986.4,-23.38530,-46.47378
9.4,2.4123,5.500,984.0,-23.38531,-46.47369
9.5,2.4055,5.540,985.1,-23.38497,-46.47353
9.6,2.4118,5.560,986.6,-23.38481,-46.47340
9.7,2.4148,5.560,986.9,-23.38482,-46.47331
9.8,2.4102,5.580,987.3,-23.38466,-46.47318
9.9,2.4224,4.820,955.8,-23.39141,-46.47437
10.0,2.4358,4.820,956.9,-23.39143,-46.47429
10.1,2.4488,4.820,958.0,-23.39144,-46.47421
10.2,2.4592,4.820,958.9,-23.39145,-46.47413
10.3,2.4677,4.820,959.6,-23.39147,-46.47405
10.4,2.4769,4.820,960.3,-23.39148,-46.47396
10.5,2.4857,4.820,961.1,-23.39149,-46.47388
10.6,2.4823,4.820,960.8,-23.39151,-46.47380
10.7,2.4795,4.820,960.6,-23.39152,-46.47372
10.8,2.4775,4.820,960.4,-23.39154,-46.47364
10.9,2.4684,5.620,994.7,-23.38448,-46.47208
11.0,2.4775,5.640,996.5,-23.38432,-46.47194
11.1,2.5004,5.660,999.6,-23.38416,-46.47181
11.2,2.5228,5.660,1001.8,-23.38418,-46.47172
11.3,2.5375,5.660,1003.3,-23.38419,-46.47162
11.4,2.5487,5.660,1004.4,-23.38421,-46.47153
11.5,2.5600,5.660,1005.5,-23.38423,-46.47143
11.6,2.5668,5.660,1006.2,-23.38425,-46.47134
11.7,2.5755,5.680,1008.0,-23.38409,-46.47120
11.8,2.5833,5.680,1008.7,-23.38411,-46.47111
11.9,2.5782,5.680,1008.2,-23.38412,-46.47101
12.0,2.5721,5.680,1007.6,-23.38414,-46.47092
12.1,2.5627,5.680,1006.7,-23.38416,-46.47082
12.2,2.5356,5.680,1004.0,-23.38418,-46.47073
12.3,2.5073,5.680,1001.2,-23.38420,-46.47063
12.4,2.4770,5.680,998.2,-23.38422,-46.47054
12.5,2.4393,5.680,994.4,-23.38424,-46.47044
12.6,2.4021,5.680,990.7,-23.38426,-46.47035
12.7,2.3680,5.760,990.7,-23.38357,-46.47008
12.8,2.3613,5.840,993.4,-23.38289,-46.46981
12.9,2.3728,5.860,995.4,-23.38274,-46.46967
13.0,2.3812,5.860,996.3,-23.38276,-46.46957
13.1,2.3871,5.860,996.9,-23.38278,-46.46947
13.2,2.3762,5.860,995.8,-23.38280,-46.46937
13.3,2.3710,5.880,996.1,-23.38264,-46.46923
13.4,2.3633,5.880,995.3,-23.38266,-46.46913
13.5,2.3519,5.940,996.6,-23.38216,-46.46890
13.6,2.3508,5.940,996.5,-23.38218,-46.46880
13.7,2.3482,5.940,996.3,-23.38220,-46.46870
13.8,2.3435,5.940,995.8,-23.38223,-46.46860
13.9,2.3277,5.940,994.1,-23.38225,-46.46850
14.0,2.3149,5.920,992.0,-23.38245,-46.46845
14.1,2.3148,5.920,992.0,-23.38247,-46.46835
14.2,2.3123,5.920,991.7,-23.38249,-46.46825
14.3,2.3060,5.920,991.1,-23.38251,-46.46816
14.4,2.2976,5.920,990.2,-23.38254,-46.46806
14.5,2.2735,5.920,987.7,-23.38256,-46.46796
14.6,2.2494,5.920,985.2,-23.38258,-46.46786
14.7,2.2246,5.920,982.6,-23.38261,-46.46776
14.8,2.1965,5.940,980.5,-23.38246,-46.46762
14.9,2.1688,5.940,977.6,-23.38248,-46.46752
15.0,2.1424,5.040,940.5,-23.39033,-46.46970
15.1,2.1033,5.040,937.1,-23.39035,-46.46962
15.2,2.0672,5.040,933.9,-23.39037,-46.46954
15.3,2.0545,5.220,939.4,-23.38883,-46.46899
15.4,2.0581,5.220,939.7,-23.38885,-46.46890
15.5,2.0689,5.220,940.7,-23.38888,-46.46882
15.6,2.0771,5.220,941.4,-23.38890,-46.46873
15.7,2.0795,5.220,941.7,-23.38892,-46.46864
15.8,2.0863,5.240,943.0,-23.38877,-46.46850
15.9,2.0948,5.260,944.5,-23.38862,-46.46836
16.0,2.1010,5.260,945.1,-23.38864,-46.46828
16.1,2.1053,5.240,944.8,-23.38884,-46.46824
16.2,2.1111,5.240,945.3,-23.38886,-46.46816
16.3,2.1174,5.240,945.9,-23.38888,-46.46807
16.4,2.1064,5.240,944.9,-23.38891,-46.46799
16.5,2.0932,5.240,943.7,-23.38893,-46.46790
16.6,2.0834,5.240,942.8,-23.38895,-46.46781
16.7,2.0757,5.240,942.1,-23.38898,-46.46773
16.8,2.0812,5.220,941.8,-23.38917,-46.46770
16.9,2.0916,5.220,942.8,-23.38920,-46.46761
17.0,2.1073,5.200,943.4,-23.38939,-46.46759
17.1,2.1330,5.200,945.8,-23.38942,-46.46750
17.2,2.1282,5.200,945.3,-23.38944,-46.46742
17.3,2.1209,5.200,944.7,-23.38946,-46.46733
17.4,2.1216,5.180,944.0,-23.38966,-46.46730
17.5,2.1311,5.180,944.9,-23.38968,-46.46722
17.6,2.1312,5.180,944.9,-23.38971,-46.46713
17.7,2.1304,5.180,944.8,-23.38973,-46.46705
17.8,2.1255,5.180,944.3,-23.38976,-46.46697
17.9,2.1105,5.180,943.0,-23.38978,-46.46688
18.0,2.0921,5.180,941.3,-23.38981,-46.46680
18.1,2.0737,5.180,939.7,-23.38983,-46.46671
18.2,2.0588,5.200,939.0,-23.38969,-46.46657
18.3,2.0563,5.200,938.8,-23.38971,-46.46648
18.4,2.0437,5.200,937.7,-23.38974,-46.46640
18.5,2.0196,5.200,935.5,-23.38977,-46.46631
18.6,1.9934,5.200,933.1,-23.38979,-46.46623
18.7,1.9679,5.220,931.5,-23.38965,-46.46608
18.8,1.9568,5.220,930.5,-23.38967,-46.46600
18.9,1.9438,5.220,929.3,-23.38970,-46.46591
19.0,1.9275,5.220,927.8,-23.38973,-46.46583
19.1,1.9065,5.220,925.9,-23.38975,-46.46574
19.2,1.8897,5.240,925.0,-23.38961,-46.46559
19.3,1.8765,5.240,923.8,-23.38964,-46.46551
19.4,1.8587,5.240,922.2,-23.38966,-46.46543
19.5,1.8395,5.240,920.4,-23.38969,-46.46534
19.6,1.8207,5.240,918.7,-23.38972,-46.46526
19.7,1.8008,5.240,916.9,-23.38975,-46.46517
19.8,1.7812,5.260,915.7,-23.38961,-46.46502
19.9,1.7617,5.240,913.3,-23.38980,-46.46500
20.0,1.7639,9.920,1062.5,-23.35023,-46.44923
20.1,1.7820,9.920,1065.6,-23.35029,-46.44907
20.2,1.7830,9.920,1065.8,-23.35034,-46.44891
20.3,1.7675,9.960,1064.4,-23.35005,-46.44861
20.4,1.7682,9.980,1065.2,-23.34994,-46.44838
20.5,1.7612,9.980,1064.0,-23.35000,-46.44822
20.6,1.7486,9.880,1058.6,-23.35089,-46.44841
20.7,1.7586,9.900,1060.9,-23.35078,-46.44818
20.8,1.7679,9.880,1061.9,-23.35100,-46.44809
20.9,1.7635,9.880,1061.2,-23.35106,-46.44793
21.0,1.7565,9.880,1059.9,-23.35111,-46.44778
21.1,1.7363,9.880,1056.4,-23.35117,-46.44762
21.2,1.7208,9.860,1053.1,-23.35139,-46.44753
21.3,1.7103,10.600,1074.5,-23.34524,-46.44474
21.4,1.7034,10.600,1073.2,-23.34530,-46.44457
21.5,1.6961,10.580,1071.2,-23.34553,-46.44447
21.6,1.7148,5.840,927.4,-23.38528,-46.46141
21.7,1.7102,5.840,927.0,-23.38531,-46.46132
21.8,1.7132,10.580,1074.4,-23.34571,-46.44397
21.9,1.7246,10.580,1076.5,-23.34578,-46.44380
22.0,1.7370,10.580,1078.8,-23.34584,-46.44363
22.1,1.7569,8.300,1009.6,-23.36492,-46.45187
22.2,1.7801,8.300,1012.9,-23.36497,-46.45174
22.3,1.8071,8.300,1016.8,-23.36502,-46.45161
22.4,1.8413,8.300,1021.8,-23.36507,-46.45148
22.5,1.8822,8.300,1027.7,-23.36512,-46.45135
22.6,1.9270,8.300,1034.2,-23.36517,-46.45122
22.7,1.9730,8.300,1040.9,-23.36522,-46.45108
22.8,2.0138,8.320,1047.6,-23.36511,-46.45088
22.9,2.0489,8.340,1053.4,-23.36499,-46.45067
