azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
0.0,-0.3179,68.900,752.0,-21.26140,-47.90396
0.1,-0.3173,69.000,753.0,-21.26050,-47.90280
0.2,-0.3151,69.100,756.1,-21.25960,-47.90163
0.3,-0.3122,69.280,760.3,-21.25798,-47.90046
0.4,-0.3091,69.400,764.6,-21.25691,-47.89928
0.5,-0.3067,69.500,767.8,-21.25602,-47.89810
0.6,-0.3047,69.440,770.0,-21.25657,-47.89694
0.7,-0.2966,70.320,783.8,-21.24866,-47.89566
0.8,-0.2954,70.260,785.0,-21.24921,-47.89449
0.9,-0.2895,70.280,792.3,-21.24905,-47.89330
1.0,-0.2976,70.300,782.4,-21.24889,-47.89211
1.1,-0.3004,70.300,778.9,-21.24891,-47.89092
1.2,-0.2986,70.460,781.8,-21.24749,-47.88971
1.3,-0.3017,70.380,777.7,-21.24823,-47.88854
1.4,-0.3035,70.380,775.5,-21.24826,-47.88735
1.5,-0.3055,70.380,773.0,-21.24829,-47.88616
1.6,-0.3078,70.320,770.0,-21.24886,-47.88499
1.7,-0.3099,70.360,767.6,-21.24853,-47.88380
1.8,-0.3130,70.300,763.5,-21.24910,-47.88263
1.9,-0.3156,70.220,760.0,-21.24986,-47.88147
2.0,-0.3186,70.160,756.1,-21.25043,-47.88031
2.1,-0.3165,69.260,755.0,-21.25857,-47.87944
2.2,-0.3145,69.140,757.0,-21.25969,-47.87832
2.3,-0.3132,69.000,758.0,-21.26100,-47.87721
2.4,-0.3136,68.840,756.9,-21.26248,-47.87611
2.5,-0.3151,68.780,754.9,-21.26307,-47.87497
2.6,-0.3177,68.580,751.0,-21.26491,-47.87390
2.7,-0.3203,68.580,747.9,-21.26496,-47.87275
2.8,-0.3214,68.460,746.1,-21.26609,-47.87165
2.9,-0.3161,68.340,752.0,-21.26723,-47.87055
3.0,-0.3115,67.760,755.2,-21.27250,-47.86970
3.1,-0.3055,67.740,762.2,-21.27273,-47.86856
3.2,-0.3022,67.720,766.0,-21.27297,-47.86743
3.3,-0.3007,67.680,767.6,-21.27339,-47.86632
3.4,-0.3030,67.640,764.7,-21.27381,-47.86520
3.5,-0.3064,67.700,761.0,-21.27334,-47.86403
3.6,-0.3110,67.680,755.4,-21.27358,-47.86290
3.7,-0.3148,66.600,747.0,-21.28335,-47.86243
3.8,-0.3157,65.220,741.1,-21.29582,-47.86219
3.9,-0.3123,65.320,745.3,-21.29499,-47.86103
4.0,-0.3105,65.220,747.0,-21.29596,-47.85999
4.1,-0.3088,65.220,749.0,-21.29603,-47.85890
4.2,-0.3085,65.180,749.1,-21.29647,-47.85783
4.3,-0.3081,65.160,749.6,-21.29672,-47.85675
4.4,-0.3075,65.100,750.0,-21.29734,-47.85569
4.5,-0.3066,65.100,751.0,-21.29742,-47.85460
4.6,-0.3049,65.100,753.0,-21.29750,-47.85350
4.7,-0.3023,65.100,755.9,-21.29758,-47.85241
4.8,-0.2992,65.060,759.3,-21.29802,-47.85135
4.9,-0.2950,65.040,764.0,-21.29829,-47.85027
5.0,-0.2933,65.060,766.0,-21.29820,-47.84916
5.1,-0.2948,65.160,764.7,-21.29739,-47.84798
5.2,-0.2982,65.140,760.7,-21.29766,-47.84690
5.3,-0.3029,65.080,755.1,-21.29829,-47.84586
5.4,-0.3065,65.060,751.0,-21.29857,-47.84479
5.5,-0.3072,65.060,750.2,-21.29866,-47.84370
5.6,-0.3106,65.060,746.4,-21.29876,-47.84260
5.7,-0.3139,65.040,742.5,-21.29904,-47.84153
5.8,-0.3179,64.980,737.8,-21.29968,-47.84050
5.9,-0.3217,64.880,733.1,-21.30068,-47.83951
6.0,-0.3249,64.840,729.4,-21.30114,-47.83846
6.1,-0.3270,64.760,726.8,-21.30197,-47.83745
6.2,-0.3276,64.700,725.9,-21.30261,-47.83643
6.3,-0.3275,64.700,726.0,-21.30272,-47.83534
6.4,-0.3261,64.660,727.5,-21.30319,-47.83430
6.5,-0.3244,64.680,729.5,-21.30313,-47.83320
6.6,-0.3227,64.660,731.3,-21.30342,-47.83213
6.7,-0.3211,64.600,733.0,-21.30408,-47.83112
6.8,-0.3211,64.600,733.0,-21.30419,-47.83003
6.9,-0.3225,64.580,731.3,-21.30449,-47.82898
7.0,-0.3261,64.600,727.3,-21.30444,-47.82787
7.1,-0.3304,64.860,723.3,-21.30224,-47.82648
7.2,-0.3367,64.900,716.3,-21.30201,-47.82535
